AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class,Timestamp,time_rel,time_gap,jerk_x,jerk_y,jerk_z,lateral_qforce,speed_variance,label
3.9880106,0.024005592,0.9604387,-0.08246681,0.33498323,-0.21762075,AGGRESSIVE,819242,0.32,0.0,-17.158423999999997,-1.01799428,30.160675,3.988082849460331,1.7972710002704908,1
2.8460383,2.2042406,0.5604172,0.002443461,0.13095424,-0.08628472,AGGRESSIVE,819243,0.321,1.0,-11.419723,21.80235008,-4.000215000000001,3.5998070264606197,1.7349588409634003,1
2.8193154,1.2768258,0.16715622,-0.008552114,0.07047858,-0.18891008,AGGRESSIVE,819243,0.321,0.0,-0.26722900000000216,-9.274148,-3.9326098,3.094967438960029,1.727578076017802,1
0.22015786,1.7787569,-0.11155987,0.05375614,-0.052305337,-0.009315695,AGGRESSIVE,819244,0.322,1.0,-25.9915754,5.019311000000002,-2.7871609,1.7923296551185528,1.7463556601119241,1
-0.35322022,0.20284384,-0.893631,0.040927973,0.080252424,0.005955936,AGGRESSIVE,819244,0.322,0.0,-5.7337808,-15.759130599999999,-7.820711299999999,0.4073206933643244,1.7955614865562952,1
-0.6192193,-0.6329924,-1.4414892,0.021991149,0.12423472,-0.0050396384,AGGRESSIVE,819245,0.323,1.0,-2.6599908000000005,-8.3583624,-5.478581999999999,0.8855009429414799,1.802083596244765,1
0.55489016,0.24593347,0.68401146,-0.005497787,-0.05841399,-0.0032070426,AGGRESSIVE,819246,0.324,1.0,11.7410946,8.7892587,21.2550066,0.6069484008802285,1.8458932586548096,1
-0.7820617,-0.8490126,1.0969133,0.019547688,0.006337727,-0.0050396384,AGGRESSIVE,819246,0.324,0.0,-13.369518600000001,-10.9494607,4.1290184,1.1543149039866245,1.84325436073305,1
-0.07362747,-2.6260445,-0.704834,0.007941248,-0.065133505,-0.014202617,AGGRESSIVE,819247,0.325,1.0,7.084342299999999,-17.770319,-18.017473,2.627076458788143,1.8402610948714082,1
-0.002841711,-2.2712922,-0.70865726,-0.018325957,-0.124387436,-0.0025961774,AGGRESSIVE,819247,0.325,0.0,0.70785759,3.547522999999999,-0.03823259999999995,2.271293977692506,1.8175420881168556,1
